,url,price,currency,expenses,expenses_type,location,total_area,covered_area,total_rooms,bathrooms,bedrooms,parking,real_state_agency,reserved,description
0,/propiedades/gran-2-ambientes-en-torre-cochera-y-baulera-full-52571102.html,Consultar precio,,$ 65.000 Expensas,$,"Núñez, Capital Federal",55,50,2 amb.,1 baño,1 dorm.,1 coch.,True,False,"** torres de montañeses ** Complejo de torres de alta categoría y con todos los amenities en una inmejorable ubicación de Núñez al límite con Belgrano, sobre calle Montañeses y a metros de Av Del Libertador. Amplio y 100% luminoso departamento de 2 ambientes (orientado al frente), cuenta con: • Living comedor con salida a amplio balcón • Cómodo balcón con vistas al frente• Cocina separada y con lavadero • Baño completo con hidromasaje • Dormitorio luminoso con placard espejado integrado• Aire acondicionado frío en el living y con losa radiante individual• Incluye una cochera fija cubierta y bauleraComplejo ""Torres de Montañeses"" cuenta con: • Seguridad 24 hs • 2 Piscinas descubierta y climatizada• Gimnasio• Sector juegos para chicos • Sum/Quincho con parrillas • Solárium• Cine• Sala de reunionesDisponible ya!! (no se aceptan mascotas)."
1,/propiedades/departamento-en-alquiler-en-pueblo-caamano-sin-52421888.html,Consultar precio,,$ 70.000 Expensas,$,"Pueblo Caamaño, Pilar",92,74,3 amb.,2 baños,2 dorm.,1 coch.,True,False,"Disponible A partir del 1/02/2024. -Impecable departamento en alquiler sin muebles en Pueblo Caamaño de tres ambientes con 74 metros cubiertos y 18 metros de balcon. Excelente ubicación con hermosa vista. Consta de dos dormitorios, dos baños, cocina, living comedor, cochera subterránea y amplio balcón. El complejo cuenta con laundry, pileta, parrillas. Se ubica en Av. Caamaño, a 600 mts. De la Panamericana Ramal Pilar Km 46 y a sólo 30 minutos de la Capital Federal. En la planta superior el complejo ofrece una completa variedad de amenities que incluyen una piscina, jacuzzi, sector de parrillas, playroom, business center y cocheras subterráneas. Además, el complejo cuenta con sistema de seguridad electrónica las 24 horas. sa sapVer datos Las medidas son aproximadas y orientativasAviso publicado por Susana Aravena Matricula 5781 cmcpsi"
2,/propiedades/departamento-en-alquiler-en-echesortu-52578282.html,$ 200.000,$,$ 50.000 Expensas,$,"Echesortu, Rosario",70,70,3 amb.,1 baño,2 dorm.,,True,False,"¡Bienvenido a tu nuevo hogar en el corazón de Echesortu! Dos dormitorios por escalera! Calle Santa Fe 4727. Ubicación privilegiada: Este encantador departamento de dos dormitorios se encuentra estratégicamente ubicado en el barrio de Echesortu, cerca de prestigiosas facultades y a pasos del centro comercial más importante de la ciudad. Su proximidad al Centro Comercial Mendoza y su fácil acceso al centro de Rosario hacen de esta propiedad una opción inigualable. Comodidades: Este luminoso departamento, distribuido en una sola planta, ofrece un espacio funcional. Dos dormitorios espaciosos, El baño completo, impecable. Cocina separada y lavadero independiente: La cocina, con su diseño práctico, Además, cuenta con un lavadero independiente, brindando una mayor comodidad en las tareas diarias. Primer piso: Este departamento se encuentra en el primer piso al frente, accesible a través de una escalera. No pierdas la oportunidad de hacer de este acogedor departamento tu nuevo hogar. ¡Contáctanos para programar una visita y descubrir todas las posibilidades que ofrece esta propiedad en Echesortu! Información adicional: Categoría del edificio: Muy buena. Tipo de edificio: Estándar. Agua caliente: Termotanque. Estado de la propiedad: Muy bueno. Categoría del edificio: Muy buena. Habitaciones: 2. Servicios: Electricidad. Pavimento. Cloacas. Gas. Teléfono. Agua Corriente. Rodríguez 1179. Oficina Ver datos. Colamarino Verónica. C. I Mat. 1505"
3,/propiedades/estadia-minima-6-meses-exclusivo-departamento-en-52274461.html,Consultar precio,,$ 120.000 Expensas,$,"Champagnat, Pilar",104,73,3 amb.,2 baños,2 dorm.,1 coch.,True,False,"Se alquila sin muebles - estadia minima 6 mesesexclusivo Departamento en Complejo Villa del Lago, PilarBienvenido al lujo y la comodidad en el corazón de Pilar. Este impresionante departamento de 3 ambientes ubicado en el prestigioso Complejo Villa del Lago ofrece una oportunidad única para vivir en un entorno de ensueño. Características principales: Ubicación Privilegiada: Situado en uno de los complejos más codiciados de Pilar, disfrutarás de un entorno tranquilo y seguro, con acceso rápido a la autopista Panamericana, lo que te conecta fácilmente con Buenos Aires y otras localidades cercanas. Distribución Espaciosa: Con dos dormitorios generosos, este departamento cuenta con un dormitorio en suite que incluye un vestidor elegante y privado. Los 2 baños completos ofrecen comodidad y privacidad para todos los miembros de la familia o invitados. Vista al Lago: Desde la amplia sala de estar y el balcón privado, podrás disfrutar de impresionantes vistas panorámicas del lago. Esto te permitirá relajarte mientras contemplas la belleza natural que te rodea. Cocina Completa: La cocina moderna y completamente equipada es un sueño para cualquier amante de la gastronomía. Con electrodomésticos de primera calidad y mucho espacio de almacenamiento, tendrás todo lo que necesitas para preparar tus comidas favoritas. Amenidades del Complejo: Los residentes de Villa del Lago tienen acceso exclusivo a una espléndida piscina, ideal para refrescarse en los días soleados o relajarse en compañía de familiares y amigos. Este departamento representa la combinación perfecta de estilo, confort y conveniencia en una de las ubicaciones más deseables de Pilar. No pierdas la oportunidad de vivir el lujo y la tranquilidad que mereces. ¡Contáctanos hoy mismo para programar una visita! Consulta por esta propiedad ahora. WhatsApp: Ver datosOficina: Ver datosvende y compra con lexinton, inmobiliaria lider en realizar compra / venta simultanea. Tasaciones profesionales. Las medidas, superficies y valores de esta ficha son aproximadas y a título informativo únicamente. Martillera y Corredor Responsable: nora levi cmcpsi 6006 y cucicba 5059Todas las propiedades que figuran en el perfil de Lexinton se encuentran a cargo del profesional matriculado que corresponda, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por esta persona. Lexinton Propiedades es una marca registrada. Matricula Provincia de Buenos Aires: nora levi cmcpsi 6006Matricula Ciudad de Buenos Aires: cucicba 5059"
4,/propiedades/bouquet-ii-2-ambientes-con-jardin-y-cochera-46023961.html,Consultar precio,,$ 72.300 Expensas,$,"Bouquet, Pilar",136,82,2 amb.,1 baño,1 dorm.,1 coch.,True,False,"Consulte opciones en las 3 torres. Bouquet Pilar se desarrolló en más de dos hectáreas de terreno. Cuenta con 7000 mts de Parque Central con piscinas, solarium y 2500 mts cubiertos de amenities situados en el subsuelo con grandes galerías y ventanales que dan al parque central. Los amenities se encuentran en un sector diferenciado para preservar la privacidad. Gimnasio, Spa, Pileta Indoor, Business Center, Amplio Sector de Recepciones, 3 grandes piletas outdoor con amplios solariums, Playroom para niños y adultos, Microcine. Departamento desarrollado en 82 m2 cubiertos, 13 m2 semicubiertos, 41 m2 de jardín y 1 cochera subterránea. Pisos en mármol, calefacción por piso radiante con regulación individual, aire ac tipo split y aberturas en aluminio doble vidrio. Encontramos hall de entrada, living, comedor y cocina con amoblamientos e isla integrados con salida a terraza y jardín. Toilette de recepción. Dormitorio en suite con vestidor. Una cochera en subsuelo."
5,/propiedades/terrazas-de-ayres-alquiler-3-amb-ulrich-propiedades-52454235.html,Consultar precio,,$ 70.000 Expensas,$,"Terrazas de Ayres, Manuel Alberti",110,70,3 amb.,2 baños,2 dorm.,2 coch.,True,False,"Departamento de tres ambientes de 90 m2, con cochera, amplio, living y comedor cocina, dormitorio, baño completo y suite con vestidor y baño. Balcón aterrazado y en segundo piso gran terraza con parrilla y pérgola. Calefacción por losa radiante. A/A, cortinas. El edificio está muy cerca de Panamericana en el km 43, cuenta con pileta, gym, cancha de tenis, sum y Landry. 2 Cocheras. Dormitorios: 2. Baños: 2. Rodolfo Ulrich csi 6078 F246 L9"
6,/propiedades/departamento-2-ambientes-en-alquiler-en-olivos-52644062.html,$ 350.000,$,$ 18.500 Expensas,$,"Olivos, Vicente López",48,48,2 amb.,1 baño,1 dorm.,,True,False,"Departamento 2 Ambientes en Alquiler en olivosdepartamento con Balcón, 2 ambientes, con Cocina Separada. Ingreso al living comedor, con Ventana al pulmón y orientación Este. Cocina con artefactos eléctricos (Cocina y Termotanque), muebles bajo mesada, estantes y alacena vertical. La cocina posee una ventana lateral. Living comedor, con ventana hacia el Este. El living posee un mueble incorporado que divide el espacioso living comedor del dormitorio a contrafrente. Habitación con gran puerta ventana de salida al balcón cerrado. Black Out y Placard completo. A/A frío calor para calefaccionar los espacios. No Apto Profesionalno Apto Mascotasrequisitos de ingresogarantía Propietaria. Mes de DepósitoContrato 3 años. Comisión"
7,/propiedades/departamento-en-venta-de-2-ambientes-almagro-52596226.html,$ 400.000,$,$ 24.300 Expensas,$,"Almagro, Capital Federal",51,46,2 amb.,1 baño,1 dorm.,,True,False,"Departamento de muy buenas dimensiones en edificio moderno de 5 años de antigüedad. Posee Laundry y Terraza. Edificio de 8 pisos con 3 departamentos por piso. Posee Laundry. Departamento al frente muy luminoso, totalmente externo. Living comedor al frente con salida a balcón, cocina completa con ventana al exterior. Dormitorio amplio en suite con placards espejados corredizos. Baño completo. Sucursal Palermo Hollywood""Para los casos de alquiler de vivienda, el monto máximo de comisión que se le puede requerir a los propietarios será el equivalente al cuatro con quince centésimos por ciento (4, 15%) del valor total del respectivo contrato. Se encuentra prohibido cobrar a los inquilinos que sean personas físicas comisiones inmobiliarias y gastos de gestoría de informes”. Valeria Soldati -cucicba- Mat. Nº 7305Valeria Soldati - cmcpsi - Mat. Nº 6818"
8,/propiedades/departamento-vohe-amoblado-52559669.html,$ 380.000,$,,,"Vohe, Pilar",42,42,1 amb.,1 baño,,1 coch.,True,False,"Excelente monoambiente amoblado ubicado en el Complejo vohe - casasur Pilar, sobre la Av. Caamaño y Panamericana ramal Pilar Km 47. Es un complejo de viviendas, oficinas, hotel y estudios con un concepto de vida moderno. El depto consiste en hall de recepción, kitchenette, baño completo, gran ambiente con dos placards con sus respectivos interiores y cochera semicubierta. Totalmente amueblado tipo hotel con la posibilidad de alquilarlo temporalmente. Características del edificio: - Healt Club: spa con mansajes, sauna húmedo y seco, y gimnasio. - Piscina climatizada en terraza con deck y barra de tragos. - Lobby. - Restaurante Bengal. - Wi Fi en áreas comunes. - Seguridad las 24hrs. Comprá, vendé, invertí y alquilá con nosotros. *Las medidas proporciones y superficies son aproximadas y solo se muestran a titulo informativo. La venta de este inmueble esta sujeta a la tramitación del Código de oferta de Transferencia de Inmuebles (coti), de conformidad con la normativa vigente (Res. Afip 2371/08, 2439/08 y ccs) por parte del propietario."
9,/propiedades/alquiler-temporario-studio-en-villa-crespo-52202492.html,Consultar precio,,,,"Villa Crespo, Capital Federal",35,35,1 amb.,1 baño,,,True,False,"Alquiler temporario studio villa crespodepartamento de un ambiente ubicado en el barrio de Villa Crespo calle Malabia entre Corrientes y Vera. En el barrio de villa crespo, en malabia y av corrientes a 1 cuadra de la estacion de subte line b scalabrini ortiz rodeada de todas las lineas de colectivos, subte, tren, llena de negocios. Excelente calidad de edificio10 pisos 83 departamentos, mas cocheras mas locales en planta baja. Unidad ubicado en piso 5 contrafrenteEdificio con seguridad 24 horas, piscina, laundry, Ambientes en excelente estadoCocina integrada con anafe eléctricoBalcón con vista al contrafrente abiertoAire frio- calorBaño completo con bañeraAmplio placar Seguridad las 24 Hs*- No hace falta bajar a abrir. - En Planta baja una hermosa pileta y Sum completo. - Tres Ascensores uno de ellos camillero/ mudanzas y automático. - Laundry en el ultimo piso. - Apto Profesional. - agua caliente centralAmueblado y equipado, con una cama matrimonial, con sabanas acolchado, una cama simple mesa para 4 personas, heladera, cafetera, tostadora, pava electrica, tv, internet, platos, vasos, cubiertos, ollas. Transportes CercanosColectivos: 15, 19, 24, 36, 55, 57, 65, 71, 76, 90, 92, 99, 106, 109, 110, 119, 124, 127, 141Subtes (Metro): malabia (Línea B) alquiler mensual valor paquete usd 600 (dolar billete) todo incluido con tope de luz o su valor en pesos al blue del dia del pago del 1 al 5 de cada mes. No incluye Honorarios Inmobiliarios. -Se deja constancia que las medidas, superficies, m2 y proporciones consignadas son aproximados, al igual que las medidas parciales y/o de los ambientes esta sujeto a verificación y/o ajuste. El valor indicado de expensas esta sujeto a variación. El precio del inmueble puede ser modificado sin previo aviso. Fotos de carácter no contractual. ezequiel wierzba martillero publico, C. U. C. I. C. B. A 6383. eduardo percy fernandez davila coquinche C. M. Z. C 578. -click aparts Contáctenos: Oficina: +Ver datosCelular: +Ver datos 5 Ver datosE-mail: Ver datos: Facebook: /click. apartsInstagram: /click. aparts"
